,Goal,Target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
69,SDG 8,8.2,economic productivity,technological innovation,innovation union,technological progress,innovation and growth,competitiveness and innovation,innovation and competitiveness,improves economic performance,gains in productivity,boost productivity,improve productivity,productivity increase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,SDG 8,8.3,job creation,creates quality jobs,entrepreneurship,support entrepreneurs,support productive activities,non‑agriculture employment,increase employment,new jobs,finance for enterprises,jobs and growth,creation job,encourage enterprises to be innovative,support for small and medium-sized enterprises,helping SMEs,help small and medium-sized enterprises,support to SMEs,creative jobs,sustainable jobs,emerging industry jobs,jobs in innovative sectors,access jobs, job-rich recovery,workers living in extreme poverty,stimulate business environment,stimulate investment climate,stimulate business climate,Ease of Doing Business Index,economic freedom,"support to Micro, Small and Medium Enterprises",support to MSME,private sectors organizations promotion,private sector development,supporting private SMEs,private sector advocacy,capital markets,regulatory framework for SMEs development,help entrepreneurs,create business climate,create business environment,create investment climate,support innovation of SMEs,support innovation of enterprise,support innovation of Small and medium sized ,,,,,,,,,,,,,,,
71,SDG 8,8.4,decouple economic growth,improve resource efficiency,material footprint,material consumption,resource productivity,green growth,climate-resilient growth,economic growth decoupled from resource use,resource efficiency in consumption and production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,SDG 8,8.5,full employment,productive employment,decent work,unemployment,inclusive employment,equal pay,high-skilled employment,help most vulnerable to return to the labour,quality employment,minimum wage,fair working conditions,gender pay gap,gender balanced labour market,decent job,inclusive job,quality job,job creation for the most vulnerable,creation of job opportunities,decent labour,protecting jobs,women participation in the labour force,informal employment,underutilized women in the labour force,help women make steady incomes,vocational rehabilitation,employment of people with disabilities,recruitment of persons with disabilities,Decent employment,access to employment,unpaid work,underutilised women in the labour force,poor job search skills,,,,,,,,,,,,,,,,,,,,,,,,,,
73,SDG 8,8.6,unemployment among youth,youth employment,youth unemployment,youth training,youth work,jobs for youth,young people employed,young people unemployed,help young people get into work,"young people aged 15 to 29 not in employment, education or training",education for insertion into the labour market,NEET,"helped 3.5 million young people a year to get in training, education or work","help young people to get in training, education or work","young people not in employment, education or training",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,SDG 8,8.7,forced labour,child labour,forced slavery,human trafficking,child soldier, child domestic workers,protection of children affected by armed conflict,prevention of recruitment of minors,recruitment of youth by extremists groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,SDG 8,8.8,labour right,safe working,secure working,precarious employment,occupational injuries,occupational accidents,accidents at work,collective bargaining,labour union,employee rights,health and safety requirements,health and safety of workers,health protection of workers,health and safety resulting from workplace,health surveillance of workers,protection of workers' health,protection of workers against risks to their health,health requirements for work, health relating to workstation,workers’ safety and health,health of workers,safety and health of workers,occupational health,health and safety requirements regarding the exposure of workers to the risks,exposure of workers to the risks,workers’ health,health of exposed workers,protection for all workers,health at work,Health Protection at Work,health and safety conditions of the work,protection of the health and safety of workers,safety requirements at the workplace,protection of labour,labour standard,improving the labour conditions,workers’ rights,,,,,,,,,,,,,,,,,,,,,
76,SDG 8,8.9,impact of sustainable tourism,monitoring sustainable tourism,evaluate sustainable tourism,sustainable tourism evaluation,sustainable tourism monitoring,plan for sustainable tourism,eco-tourism,culture linked to tourism,agri-tourism,green tourism,inclusive tourism,responsible tourism,responsible ecotourism,promote local culture,promote local products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,SDG 8,8.10,access to banking,access to financial service,access to insurance,commercial bank branches,number of atm,automated teller machines,mobile money service,bank account,financial inclusion,access to credit and financial services,financial service providers,microfinance,micro-credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,SDG 8,8.a,aid for trade,aid for disbursement,trade-related technical assistance,trade-related assistance,trade-related direct foreign investment,FDI for trade,trade policy development support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,SDG 8,8.b,strategy for youth employment,policy for youth employment,global jobs pact,youth employment strategy,increase professional abilities of the youth,increase the employability of the youth,youth unemployment rise,opportunities for youth to enter the labour market,enabling youth entrepreneurship,enhancing youth entrepreneurship,empowering youth,reinforcing youth participation,reinforcing youth leadership,opportunities for youth employment,enhancing youth employability,creating opportunities for youth,creating incentives for entrepreneurship for youth,creating incentives for innovation for youth,employment opportunities for the youth,instrument to fight youth unemployment,youth employment policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,SDG 9,9.0,Sustainable Development Goal 9,SDG 9,digital transformation,digitalisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,SDG 9,9.1,quality infrastructure,resilient infrastructure,sustainable infrastructure,reliable infrastructure,all-season road,transborder infrastructure,regional infrastructure,inland waterways,passenger transport,freight transport,transport infrastructure,infrastructure providing basic services,enhancement of basic infrastructure,infrastructure gaps,chronic infrastructure deficit,transport system and infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,SDG 9,9.2,inclusive industrialisation,sustainable industrialization,manufacturing value,high technology employment,medium technology employment,employment in high technology,employment in medium technology,manufacturing industry,industrial modernization,industrial modernisation,manufacturing employment,construction of industrial parks,solar industry,clean industry,cultural industries,creative industries,sustainable industrialisation,inclusive industrialization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,SDG 9,9.3,small scale industry,small enterprises and financial services,access to finance small scale industry,access to finance industry,industry access to finance,credit small scale indsutry,small scale industry access to credit,small scale industry credit,financial instrument supporting Union enterprises,financial instrument to support enterprises,financial instrument for enterprises,financial instrument for SME,loans to expansion and growth-stage enterprises,loans for enterprises,loans for SME,credit for enterprises,credit for SME,access to finance for rural Micro-Enterprises,access to finance for SME,SME finance,SME credit,financial support SME,promote SME,SME access,SME internationalisation,funding SME,promote transational participation SME,provide capacity building to micro and small enterprises,provide advice to micro and small enterprises,small producers,small private businesses,small production,small cooperatives,micro small medium enterprises,"micro, small and medium-sized enterprises",small-scale farmers,small business,finance market for the innovative companies,finance market for SMEs,access to finance for MSMEs,,,,,,,,,,,,,,,,,,
84,SDG 9,9.4,upgrade infrastructure,sustainable industrial process,retrofitting,retrofit,resource-use efficiency,upgrade existing infrastructure,clean technologies,low-emission technologies,industry transition to sustainable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,SDG 9,9.5,innovative infrastructure,innovative industry,industrial innovation,industry technology,research and development,R&D,innovative technology,green technology,Expenditure in Research,Expenditure in Innovation,personnel employed in RD&I,foster innovation,Investing in digital infrastructure,research and innovation,innovation and research,Horizon Europe,Eurostars,EUREKA,establish research cells,foster research and partnerships,set up research partnerships,networks for research,facilitate innovation,foster technological progress,foster research cooperation,facilitate research cooperation,improve research cooperation,strengthen research cooperation,scientific research,science technology and innovation,STI,Science Technology Research and Innovation,,,,,,,,,,,,,,,,,,,,,,,,,,
86,SDG 9,9.a,international support to infrastructure,development assistance to infrastructure,infrastructure in developing countries,infrastructure development in developing countries,developing countries infrastructure,oda for rural infrastructure development,official development assistance for rural infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,SDG 9,9.b,research in developing countries,innovation in developing countries,technology development in developing countries,technologies in developing countries,industry in developing countries,industrial diversification in developing countries,research and development developing countries,developing countries research and development,developing countries technology,developing countries innovation,R&D in developing countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,SDG 9,9.c,internet access,access to free internet,access to information technology,access to ICT,access to communication technology,network coverage,access internet,ict access,information technology access,fibre-optic internet,internet connectivity,internet networks,provide free internet,affordable internet package,making ICT more accessible,intercontinental hub for ICT,ICT Policy,provide ICT classes,ICT literacy,improvements of the ICT systems,ICT in partnership,improve communications infrastructure,area covered by a mobile network,digitalization of businesses and services,bridge the digital divide,people who remain offline,people unable to access online,potential of digital technologies,reach of a mobile-cellular signal,3G network in developing countries,higher-quality network,equal access to information and knowledge,optic fibre in ldc,broadband in ldc,4G network in ldc,5G network in ldc,optic fibre in least developed countries,broadband in least developed countries,optic fibre in developing countries,broadband in developing countries,3G network in least developed countries,3G network in ldc,,,,,,,,,,,,,,,,
89,SDG 10,10.0,Sustainable Development Goal 10,SDG 10,reduce inequalities,Inequality within countries,Inequality among countries,equality within countries,equality among countries,Inequalities for vulnerable,equalities for vulnerable,equality for everyone,global equality,achieve greater equality,achieve equality,reducing poverty and inequality,social fairness,equality for all,fighting inequalities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,SDG 10,10.1,economic equality,economic inequalities,equitable income growth,equitable distribution of income,equal payment,income equality,income inequality,equal income,payment inequality,payment equality,Inequalities based on income,Gini index,income disparities,distribution of real income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,SDG 10,10.2,political inclusion,social inclusion,economic inclusion,social inequalities,political inequalities,Inequalities based on age,Inequalities based on disability,Inequalities based on sexual orientation,Inequalities based on race,Inequalities based on class,Inequalities based on ethnicity,Inequalities based on religion,race inequalities,class inequalities,ethnicity inequalities,religion inequalities,empower lower income earners,people living below 50 percent of median income,inclusion in society,inclusion of people with disabilities,support for people with disabilities,inclusion for all,inclusion of persons with disabilities,promote inclusion,participation of persons with disabilities,participation of people with disabilities,involvement of persons with disabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,SDG 10,10.3,inequalities of outcome,discriminatory law,equal opportunity,discrimination,discriminatory practices,equality act,equality of outcome,equal treatment,inequalities of opportunity,disparities of opportunity,be discriminated,racism,homophobia,transphobia,religious intolerance,discriminatory policies,same opportunities for all,anti-discrimination legislation,accessibility non-discrimination,social cohesion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,SDG 10,10.4,social protection policy,fiscal equality,social protection transfer,equality and social policy,social equality,wage equality,progress equality,advance equality,increase equality,improve equality,enhance equality,Redistributive impact of fiscal policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,SDG 10,10.5,regulation of financial market,monitoring of financial market,regulation of financial institution,monitoring of financial institution,financial soundness,financial health,improve the regulation on income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,SDG 10,10.6,decision power of developing countries,voting rights of developing countries,participation of developing countries,voice of developing countries,decision-making in developing countries,developing countries are better represented in decision-making,developing countries represented in decision-making,developing countries representation in decision-making,equal representation in international organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,SDG 10,10.7,safe migration,responsible migration,orderly migration,migration policies,manage migration,policies for migration,safe mobility of people,people who died or disappeared in the process of migration,died in migration,deaths in migration,deaths of migrants,irregular departures,migrant status,refugees,forced displacement,internally displaced people,migration partnerships,internally displaced persons,irregular migration,return and readmission,Regularised status,voluntary returns,border management,migration routes,resettlement,migration governance,migration management,asylum,assisted voluntary return,legal mobility,sustainable reintegration,border control,smuggling of migrants,migrant smuggling,host communities,diaspora,,,,,,,,,,,,,,,,,,,,,,
97,SDG 10,10.a,special treatment of developing countries,developing countries treated special,differential treatment for developing countries,developing countries special rights,special rights for developing countries,differential treatment provision,Tariff line for developing countries,Tariff line for least developed countries,Tariff line for LDCs,differential treatment for least developed countries,differential treatment for LDCs,tariff rates on goods coming from developing countries,tariff rates on goods from developing countries,tariff rates for developing countries,tariff rates for least developed countries,tariff rates for LDCs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,SDG 10,10.b,development aid to neediest countries,aid to ldc,aid to developing,aid least developed,aid small island,assistance ldc,assistance small island,assistance least developed,direct investment developing countries,direct investment ldc,direct investment small island,direct investment least developed,fdi developing countries,fdi least developed,fdi ldc,fdi small island,resource flows for development,resource flows to developing countries,resource flows to least developed countries,resource flows to LDCs,development assistance,direct investment to regions where the need is greatest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,SDG 10,10.c,remittance cost,remittance corridors,remittance transfer cost,remittance transaction cost,migrant remittances,remittances from migrants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,SDG 11,11.0,Sustainable Development Goal 11,SDG 11,resilient cities,resilient communities,resilient human settlement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,SDG 11,11.1,access to housing,safe housing,adequate housing,affordable housing,inadequate housing,slum,informal settlements,live in informal area,right to housing,urban renewal,demand for housing,capacity building of the communal services,overburdened services,social housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,SDG 11,11.2,affordable transport,safe transport,accessible transport,public transport,sustainable transport,transport system,clean transport,clean mobility,clean urban mobility,electric transport,reshaping of the transport sector,rail transport network,climate resilient transportation infrastructure,efficient technologies for transportation,sustainable urban mobility,sustainable mobility,sustainable and smart mobility,multimodal mobility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,SDG 11,11.3,inclusive urbanization,sustainable urbanization,urban planning,urban management,sustainable human settlement,urban development,city planning,sustainable cities,urban sustainability,participation in urban,participation and urban planning,citizen participation,urban social participation,urban participation,inclusion and civil society,inclusive cities,inclusive communities,sustainable communities,design of urban settlements,disadvantaged urban areas,new urban agenda,urban growth,urban transition,urban wellbeing,urban environment,better urban governance,urban centres as economic poles,sustainable urban expansion,urban spaces management,mega-cities pressure,local authorities planning,inclusive human settlement,safe human settlement,inclusive urbanisation,sustainable urbanisation,,,,,,,,,,,,,,,,,,,,,,,
104,SDG 11,11.4,cultural heritage,natural heritage,unesco world heritage,heritage protection,heritage conservation,heritage park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,SDG 11,11.5,disaster related deaths,disaster related cost,flood victim,flood related cost,damage due to flooding,disaster resilience,disaster vulnerability,disaster damage,direct economic loss disaster,economic loss climate-related,economic loss natural disaster,disaster risk management,disaster risk reduction,disaster management,disaster preparedness,disaster mitigation,post-disaster response,disaster emergency action,DRR, Sendai Framework,economic cost of disasters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,SDG 11,11.6,urban solid waste,urban waste,air pollution in cities,urban air pollution,air pollution in urban,particulate matter in cities,particulate matter in urban,smart waste management,improvements to air quality,waste management and recycling schemes,urban waste reduction,urban waste pickers,urban waste recycling,urbanization pressure,urban hazardous waste,municipal waste generation and management,municipal waste management,quality of the air we breathe,"reduce air, water and noise pollution",zero-emission mobility,reduce congestion and pollution especially in urban areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,SDG 11,11.7,green space,inclusive public space,safe public space,open space in cities,urban parks,green urban development,green urban transition,Green urban spaces,Urban Greening Plans,accessible urban forests,accessible urban gardens,Greening urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,SDG 11,11.a,regional planning,regional development plan, regional development strategy,urban development plan, urban development strategy,peri-urban area,sub urban area,urban rural interface,rural urban interface,regional programmes,improve regional management,regional network,regional development projects,regional integration,regional driving force,urban development at regional level,innovation at regional level,regional strategy,initiatives of regional importance,regional socioeconomic integration,regional and triangular cooperation potential,regional initiatives,community-driven solutions,"global, regional and country-level action",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,SDG 11,11.b,urban disaster risk,disaster risk management in urban,disaster risk reduction in urban,disaster risk reduction strategy,urban inclusion,climate change adaptation urban,climate change adaptation plan urban,urban climate change adaptation,urban climate change mitigation,climate change mitigation urban,climate change mitigation plan urban,local disaster risk,disaster risk reducation plan,urban disaster resilience,foster inclusion in cities,fight inequalities in cities,facilitate inclusion in cities,tackle inequalities in cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,SDG 11,11.c,support LDC in utilizing local building materials for sustainable buildings,support LDC in utilising local building materials for sustainable buildings,support ldc in sustainable building,support least developed countries in sustainable building,support developing countries in sustainable building,support ldc in resilient building,support least developed countries in resilient building,support developing countries in resilient building,support ldc in building sustainable,support least developed countries in building sustainable,support developing countries in building sustainable ,support ldc in building resilient,support least developed countries in building resilient,support developing countries in building resilient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,SDG 12,12.0,Sustainable Development Goal 12,SDG 12,change our consumption and production patterns,sustainable consumption,sustainable production,responsible consumption,responsible production,shift our consumption and production patterns to more sustainable,change the way we produce,change the way we consume,reduce our ecological footprint,sustainable patterns of consumption,sustainable patterns of production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,SDG 12,12.1,SCP national action,SCP national plan,SCP national programme,Programmes on Sustainable Consumption and Production,sustainable consumption and production action plan,sustainable consumption and production in national plan,sustainable consumption and production in national policies,sustainable consumption action plan,sustainable consumption in national plan,sustainable consumption in national policies,sustainable production action plan,sustainable production in national plan,sustainable production in national policies,policy instruments aimed at supporting the shift to sustainable consumption and production,policy instruments to support the shift to sustainable consumption and production,policy instruments to support sustainable consumption and production,policy instruments for sustainable consumption and production,policy for sustainable consumption and production,policy to promote Sustainable Consumption and Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,SDG 12,12.2,sustainable resource use,sustainable resource management,natural resource efficiency,resource use efficiency,material footprint,efficient resource use,efficient use of resources,material consumption,use natural resources sustainably,use natural resources unsustainably,efficient management of natural resources,sustainable natural resource use,use resources sustainably,improve the resource efficiency,sustainable raw materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,SDG 12,12.3,food waste,food loss,post harvest loss,waste food,food lost in supply chains,reduce the environmental impact of the food processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,SDG 12,12.4,waste management,chemical waste,hazardous waste,hazardous chemical,waste treatment,management of chemicals,management of wastes,chemical release,chemicals pollution,waste pollution,hazardous pesticides,Persistent Organic Pollutants,toxic waste,solid waste,waste processing,waste collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,SDG 12,12.5,waste reduction,reduce waste,recycling,upcycling,reuse of resources,circular economy,waste-to-energy,resource reuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,SDG 12,12.6,sustainability reporting,company sustainability,sustainable business strategy,sustainability information,sustainability in companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,SDG 12,12.7,sustainable public procurement,green public procurement,sustainable procurement,green procurement,climate-friendly public procurement,climate-friendly procurement,GPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,SDG 12,12.8,education for sustainable development,climate change education,awareness for sustainable development,sustainability education,awareness sustainability,sustainability awareness,sustainability campaign,encourage sustainability,Ensure consumer information,adequate consumer information,sustainable lifestyle,sustainable way of life,sustainability in every day life,sustainable behaviour,lifestyles in harmony with nature,lifestyles in harmony with environment,lifestyles respect nature,lifestyles respect environment,sustainable consumer choices,adopt sustainable practices,empower consumers to make informed choices,enabling buyers to make sustainable decisions,"give consumers better 
information",informed consumer choices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,SDG 12,12.a,support developing countries sustainable,promote sustainability in developing countries,promote sustainable lifestyle in developing countries,sustainable consumption in developing countries,developing countries sustainable lifestyle,developing countries sustainable consumption,sustainable production developing countries,developing countries sustainable production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,SDG 12,12.b,sustainable tourism,tourism that promotes local culture,tourism that promotes local products,monitor the economic and environmental aspects of tourism,monitor the environmental impact of tourism,tourism policies,tourism sustainable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,SDG 12,12.c,fossil-fuel subsidies,carbon taxation,carbon tax,subsidies to fossil fuels,environmental cost of fossil fuel,fossil fuel tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,SDG 13,13.0,Sustainable Development Goal 13,SDG 13,climate change,climate action,climate-neutral,climate neutrality,climate research and innovation,decarbonization,Paris Agreement,climate crisis,climate investment,climate ambition,decarbonisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,SDG 13,13.1,disaster risk reduction,climate resilience,climate-related hazards,climate vulnerability,vulnerability to climate change,cope with climate change,coping strategies climate change,climate change cope,climate change resilience,resilient climate change,climate change adaptation,climate change mitigation,climate governance,prevent the effects of climate change,addressing climate impact,climate mitigation,mitigate natural disasters,reduce the impact of natural disasters,"adaptation to 
climate change",climate adaptation,hydrogeological disasters, extreme weather,mitigate impacts of climate change,resilience to climate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,SDG 13,13.2,climate change measures,national climate change adaptation,planning for climate change adaptation,climate change adaptation strategy,climate adaptation plan,climate adaptation strategy,nationally determined contribution,national adaptation plans,climate plan,climate action plan,climate change strategy,necp,Governance of the Energy Union and Climate Action,climate change policy,meet the goals of the Paris Agreement,climate related planning,addressing climate policy issues,plan for climate neutrality,strategy on climate action,national adaptation plans for responding to climate change,climate action to meet the goals of the Paris Climate Change Agreement,reducing greenhouse gas emissions,reduce GHG,Climate law,emissions reduction,Climate Pact,reduce emissions,climate-related policy,climate legislation,integrate climate change into risk management practices,climate objectives,net zero emissions,greenhouse gas emission reductions,policies contribute to climate,reduce carbon emissions,NDC,Emission Trading,MRV,climate mitigation strategies,United Nations Framework Convention on Climate Change,climate change mitigation strategies,,,,,,,,,,,,,,,,,
126,SDG 13,13.3,climate change knowledge,climate change awareness,human capacity climate change,institutional capacity climate change,climate change mitigation capacity,climate change through education,improvement in climate change knowledge,climate change learning,learning climate change,education climate change,awareness climate change,awareness raising climate change,climate change curricula,research and innovation in climate,climate-related research,knowledge and understanding of climate change, knowledge of climate change,understanding of climate change,promote public awareness to address the effects of climate change,promote awareness to address climate change,climate change forum,better understand the risks posed by climate change,skills and attitudes on climate change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,SDG 13,13.a,green climate fund,climate related expending,funding climate change,financing climate change,development assistance to climate change,helping developing countries cut emissions,helping developing countries cope with climate impacts,green climate fund capitalization,address the needs of developing countries in the face of climate change,enable the climate finance,climate finance,Climate Change Fund,climate related investment,finance for climate action,investments on climate resilient,additional climate finance,green climate fund capitalisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,SDG 13,13.b,climate change related planning in least developed,climate change related planning small island,raise capacity for effective climate change-related planning, raise capacity for effective climate change-related management,address the needs of developing countries to adapt to climate change,support developing countries in climate change,support small island developing states in climate change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,SDG 14,14.0,Sustainable Development Goal 14,SDG 14,sustainable use of seas,sustainable use of marine resources,life below water,marine and water resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,SDG 14,14.1,marine pollution,nutrient pollution,marine debris,coastal eutrophication,plastic debris,deterioration of coastal waters,coastal waters pollution,coastal water eutrophication,plastic litter,threaten marine environment,threaten marine life,marine litter,Clean Oceans,plastic waste ocean,ocean plastic waste,plastic ocean,plastic discharges ocean,oil spills ocean,oil spills sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,SDG 14,14.2,healthy ocean,productive ocean,marine ecosystem,coastal ecosystem,marine biodiversity,sustainable management of oceanic and coastal fisheries,protect lives and livelihoods in coastal areas,integrated costal management,water management in the sea basin,sustainable marine environments,sustainable maritime transport,coastal biodiversity,loss of coastal habitats,marine key biodiversity areas,oceans must be conserved,sustainable development of water ecosystems,protection of water and marine resources,conserve seas,conserve marine resources,protect oceans,protect seas,protect marine resources,protecting coastal wetlands,sustainably managing marine areas,sustainably managing coastal areas, maritime ecosystems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,SDG 14,14.3,ocean acidification,marine acidity,ocean acidity,marine acidification,acidification ocean,acidification marine,acidity marine,acidity ocean,ph of the ocean,ph of the earths ocean,oceans ph,ocean chemistry,ocean pollution,ocean warming,ocean heat,marine heatwaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,SDG 14,14.4,overfishing,fish stock,sustainable fishing,destructive fishing,unregulated fishing,unreported fishing,illegal fishing,poor fisheries management,overexploited fish stocks,depleted fisheries,reduce the adverse impacts of fishing,Fisheries Agreement,fish industry,sustainable fisheries,SFPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,SDG 14,14.5,marine protected area,marine protected sites,marine area conservation,conserve marine area,protect marine area,marine area protection,conserve coastal area,coastal area protection,protect coastal area,marine environment,international ocean policy,protect sea areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,SDG 14,14.6,fisheries subsidies,regulated fishing,subsidies fishing,fisheries law,fisheries management,add value locally to fisheries resources,sustainable ocean economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,SDG 14,14.7,small island developing States marine resource,small island developing States sustainable use of marine resource,sustainable fisheries in small island,marine resource management small island developing,marine resources small island developing,marine resource use small island developing,sustainable aquaculture small island developing,small islands sustainable management of marine resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,SDG 14,14.a,ocean technology,research in marine technology,funds for marine technology,research and development in marine technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,SDG 14,14.b,small scale fisher,artisanal fisher,small scale fisheries,small scale fishing,family based fishery,small scale coastal fishermen,small fisheries, small-medium fisheries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,SDG 14,14.c,ocean conservation,sustainable use of ocean,law of the sea,ocean related instrument,ocean related legislation,conservation of ocean,management of marine resource,ocean-related instruments for conservation and sustainable use,health of the ocean,ocean health,UNCLOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,SDG 15,15.0,Sustainable Development Goal 15,SDG 15,conserve land resources,protect land resources,life on land,environmental protection,land restoration and decontamination,restore and protect nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
